Year,Rank,Agent,Office,UnitsListed,VolumeListed,UnitsSold,VolumeSold,UnitsTotal,VolumeTotal,% MLS Volume,Avg Ttl Price,Avg DOM
2016,6033,"ELLIS, THERESA - R01036301",CALDECOTT PROPERTIES - OCCP,1,"$2,150,000 ",0,$0 ,1,"$2,150,000 ",0.00%,"2,150,000",0
2016,6619,"Nguyen, Jacqueline - ML304200",Equity One Real Estate - ML5009481,1,"$1,765,000 ",0,$0 ,1,"$1,765,000 ",0.00%,"1,765,000",0
2016,7545,"Olson, Lori - 149520613","Alain Pinel, REALTORSÂ® - SHGM07",1,"$1,300,000 ",0,$0 ,1,"$1,300,000 ",0.00%,"1,300,000",0
2016,8790,"HOFFMAN, PAMELA - R00545454",PACIFIC UNION INTERNATIONAL - OPACU 01,1,"$900,000 ",0,$0 ,1,"$900,000 ",0.00%,"900,000",0
2016,9012,"Thumhart, Amy - QBB338014",Pacific Union International - QB7B429,1,"$850,000 ",0,$0 ,1,"$850,000 ",0.00%,"850,000",0
2016,9016,"Attard, Charlene - QS324325",Intero Real Estate Services - QSINTR12,1,"$849,000 ",0,$0 ,1,"$849,000 ",0.00%,"849,000",0
2016,9166,"Parker, Jessica - 159523605",IPA Realty - CCIPAI,1,"$815,000 ",0,$0 ,1,"$815,000 ",0.00%,"815,000",0
2016,10377,"Kroeger, (R) Linda - LINDAKROEGER",AP Management - CCRCPAPMAN,1,"$590,000 ",0,$0 ,1,"$590,000 ",0.00%,"590,000",0
2016,10505,"Aulakh, Neeta - 156507917",R H BROKERS - SRHD01,1,"$565,000 ",1,"$565,000 ",2,"$1,130,000 ",0.00%,"565,000",0
2016,10550,"Anderson, Nick - QS808191",Vanguard Properties - QSVANG02,1,"$555,000 ",0,$0 ,1,"$555,000 ",0.00%,"555,000",0
2016,10679,"JONES, ALTON - R01335658",REALTY WORLD GOLDEN GATE - ORWDG,1,"$535,000 ",1,"$535,000 ",2,"$1,070,000 ",0.00%,"535,000",0
2016,10760,"Manno, John - QBA335862",SRG/SFHOD - QB7A0100,1,"$525,000 ",0,$0 ,1,"$525,000 ",0.00%,"525,000",0
2016,10835,"Montero, Kelly - QMMMONTEKE",Century 21 M & M and Assoc. - QM01MMNA05,1,"$515,000 ",0,$0 ,1,"$515,000 ",0.00%,"515,000",0
2016,9604,"Li, Devon - QS807028",Century 21 Realty Alliance Fine Homes and Estates - QSCAFH,1,"$725,000 ",1,"$250,000 ",2,"$975,000 ",0.00%,"487,500",0
2016,11208,"CORRY, DEVONY - R01271296",SIX DEGREES REALTY - OFSCB,1,"$455,000 ",0,$0 ,1,"$455,000 ",0,"455,000",0
2016,11251,"Hanley, Nicholas - QBC322142",Coldwell Banker Kappel Gateway Realty - QB7C605,1,"$450,000 ",0,$0 ,1,"$450,000 ",0,"450,000",0
2016,11294,"Huie, Jeniffer - 159508379","HomeSmart Optima Realty, Inc - CCDRONKERS",1,"$445,000 ",0,$0 ,1,"$445,000 ",0,"445,000",0
2016,11496,"Wagner, Dawn - QBC322437",Dunham Realty - QBCDUNHAM,1,"$416,000 ",0,$0 ,1,"$416,000 ",0,"416,000",0
2016,11600,"Juricich, Mario - 159511752",Kropa Realty - CC21KR,1,"$400,000 ",0,$0 ,1,"$400,000 ",0,"400,000",0
2016,11625,"Singh, Sangeeta - QMSSINGSAN",Statewide Realty & Mortgage - QM01SNGH,1,"$399,000 ",0,$0 ,1,"$399,000 ",0,"399,000",0
